"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.21, 2021"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101","","F1101","","F1102",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation","F1101_(Population census) Population in labour force[person]","Annotation","F1102_(Population census) Number of employed persons[person]","Annotation"
"2015100000","2015","01642","Hokkaido Hiroo-cho","","7,030","","3,652","","3,564",""
"2015100000","2015","01643","Hokkaido Makubetsu-cho","","26,760","","13,648","","13,177",""
"2015100000","2015","01644","Hokkaido Ikeda-cho","","6,882","","3,366","","3,250",""
"2015100000","2015","01645","Hokkaido Toyokoro-cho","","3,182","","1,789","","1,748",""
"2015100000","2015","01646","Hokkaido Hombetsu-cho","","7,358","","3,902","","3,818",""
"2015100000","2015","01647","Hokkaido Ashoro-cho","","6,990","","3,578","","3,516",""
"2015100000","2015","01648","Hokkaido Rikubetsu-cho","","2,482","","1,285","","1,254",""
"2015100000","2015","01649","Hokkaido Urahoro-cho","","4,919","","2,678","","2,633",""
"2015100000","2015","01661","Hokkaido Kushiro-cho","","19,833","","10,666","","10,145",""
"2015100000","2015","01662","Hokkaido Akkeshi-cho","","9,778","","5,646","","5,535",""
"2015100000","2015","01663","Hokkaido Hamanaka-cho","","6,061","","3,828","","3,745",""
"2015100000","2015","01664","Hokkaido Shibecha-cho","","7,742","","4,031","","3,953",""
"2015100000","2015","01665","Hokkaido Teshikaga-cho","","7,758","","4,086","","3,958",""
"2015100000","2015","01667","Hokkaido Tsurui-mura","","2,534","","1,251","","1,230",""
"2015100000","2015","01668","Hokkaido Shiranuka-cho","","8,068","","4,083","","3,894",""
"2015100000","2015","01691","Hokkaido Betsukai-cho","","15,273","","8,619","","8,507",""
"2015100000","2015","01692","Hokkaido Nakashibetsu-cho","","23,774","","13,034","","12,615",""
"2015100000","2015","01693","Hokkaido Shibetsu-cho","","5,242","","2,976","","2,899",""
"2015100000","2015","01694","Hokkaido Rausu-cho","","5,415","","3,275","","3,221",""
"2015100000","2015","02201","Aomori-ken Aomori-shi","","287,648","","139,170","","130,968",""
"2015100000","2015","02202","Aomori-ken Hirosaki-shi","","177,411","","89,796","","85,719",""
"2015100000","2015","02203","Aomori-ken Hachinohe-shi","","231,257","","114,320","","108,032",""
"2015100000","2015","02204","Aomori-ken Kuroishi-shi","","34,284","","18,419","","17,552",""
"2015100000","2015","02205","Aomori-ken Goshogawara-shi","","55,181","","27,858","","26,206",""
"2015100000","2015","02206","Aomori-ken Towada-shi","","63,429","","32,489","","31,098",""
"2015100000","2015","02207","Aomori-ken Misawa-shi","","40,196","","20,456","","19,625",""
"2015100000","2015","02208","Aomori-ken Mutsu-shi","","58,493","","28,057","","26,565",""
"2015100000","2015","02209","Aomori-ken Tsugaru-shi","","33,316","","16,965","","15,881",""
"2015100000","2015","02210","Aomori-ken Hirakawa-shi","","32,106","","17,648","","16,331",""
"2015100000","2015","02301","Aomori-ken Hiranai-machi","","11,142","","5,995","","5,745",""
"2015100000","2015","02303","Aomori-ken Imabetsu-machi","","2,756","","1,178","","1,081",""
"2015100000","2015","02304","Aomori-ken Yomogita-mura","","2,896","","1,497","","1,411",""
"2015100000","2015","02307","Aomori-ken Sotogahama-machi","","6,198","","2,760","","2,597",""
"2015100000","2015","02321","Aomori-ken Ajigasawa-machi","","10,126","","4,971","","4,672",""
"2015100000","2015","02323","Aomori-ken Fukaura-machi","","8,429","","3,847","","3,670",""
"2015100000","2015","02343","Aomori-ken Nishimeya-mura","","1,415","","837","","806",""
"2015100000","2015","02361","Aomori-ken Fujisaki-machi","","15,179","","8,467","","8,054",""
"2015100000","2015","02362","Aomori-ken Owani-machi","","9,676","","5,103","","4,783",""
"2015100000","2015","02367","Aomori-ken Inakadate-mura","","7,783","","4,250","","4,049",""
"2015100000","2015","02381","Aomori-ken Itayanagi-machi","","13,935","","8,272","","7,897",""
"2015100000","2015","02384","Aomori-ken Tsuruta-machi","","13,392","","7,500","","7,096",""
"2015100000","2015","02387","Aomori-ken Nakadomari-machi","","11,187","","5,298","","4,744",""
"2015100000","2015","02401","Aomori-ken Noheji-machi","","13,524","","6,652","","6,284",""
"2015100000","2015","02402","Aomori-ken Shichinohe-machi","","15,709","","8,277","","7,894",""
"2015100000","2015","02405","Aomori-ken Rokunohe-machi","","10,423","","5,621","","5,378",""
"2015100000","2015","02406","Aomori-ken Yokohama-machi","","4,535","","2,411","","2,308",""
"2015100000","2015","02408","Aomori-ken Tohoku-machi","","17,955","","9,444","","9,004",""
"2015100000","2015","02411","Aomori-ken Rokkasho-mura","","10,536","","6,312","","6,095",""
"2015100000","2015","02412","Aomori-ken Oirase-cho","","24,222","","12,706","","12,060",""
"2015100000","2015","02423","Aomori-ken Oma-machi","","5,227","","2,709","","2,569",""
"2015100000","2015","02424","Aomori-ken Higashidori-mura","","6,607","","3,609","","3,466",""
"2015100000","2015","02425","Aomori-ken Kazamaura-mura","","1,976","","1,031","","955",""
"2015100000","2015","02426","Aomori-ken Sai-mura","","2,148","","1,038","","973",""
"2015100000","2015","02441","Aomori-ken Sannohe-machi","","10,135","","5,373","","5,112",""
"2015100000","2015","02442","Aomori-ken Gonohe-machi","","17,433","","9,522","","9,036",""
"2015100000","2015","02443","Aomori-ken Takko-machi","","5,554","","3,099","","2,997",""
"2015100000","2015","02445","Aomori-ken Nambu-cho","","18,312","","9,745","","9,370",""
"2015100000","2015","02446","Aomori-ken Hashikami-cho","","14,025","","6,933","","6,480",""
"2015100000","2015","02450","Aomori-ken Shingo-mura","","2,509","","1,447","","1,407",""
"2015100000","2015","03201","Iwate-ken Morioka-shi","","297,631","","150,121","","143,723",""
"2015100000","2015","03202","Iwate-ken Miyako-shi","","56,676","","27,770","","26,507",""
"2015100000","2015","03203","Iwate-ken Ofunato-shi","","38,058","","19,513","","18,838",""
"2015100000","2015","03205","Iwate-ken Hanamaki-shi","","97,702","","51,180","","49,218",""
"2015100000","2015","03206","Iwate-ken Kitakami-shi","","93,511","","49,063","","47,239",""
"2015100000","2015","03207","Iwate-ken Kuji-shi","","35,642","","18,039","","17,134",""
"2015100000","2015","03208","Iwate-ken Tono-shi","","28,062","","14,850","","14,291",""
"2015100000","2015","03209","Iwate-ken Ichinoseki-shi","","121,583","","62,608","","60,063",""
"2015100000","2015","03210","Iwate-ken Rikuzentakata-shi","","19,758","","10,052","","9,697",""
"2015100000","2015","03211","Iwate-ken Kamaishi-shi","","36,802","","18,318","","17,547",""
"2015100000","2015","03213","Iwate-ken Ninohe-shi","","27,611","","15,114","","14,580",""
"2015100000","2015","03214","Iwate-ken Hachimantai-shi","","26,355","","14,438","","13,845",""
"2015100000","2015","03215","Iwate-ken Oshu-shi","","119,422","","63,950","","61,595",""
"2015100000","2015","03216","Iwate-ken Takizawashi","","55,463","","28,955","","27,861",""
"2015100000","2015","03301","Iwate-ken Shizukuishi-cho","","16,981","","9,465","","9,148",""
"2015100000","2015","03302","Iwate-ken Kuzumaki-machi","","6,344","","3,143","","3,014",""
"2015100000","2015","03303","Iwate-ken Iwate-machi","","13,692","","7,447","","7,173",""
"2015100000","2015","03321","Iwate-ken Shiwa-cho","","32,614","","17,891","","17,209",""
"2015100000","2015","03322","Iwate-ken Yahaba-cho","","27,678","","14,436","","13,922",""
